refNumber	gameDate	homeTeam	awayTeam
19	2014-02-22	SAC	BOS
46	2014-02-22	GSW	BKN
14	2014-02-23	LAC	OKC
65	2014-02-23	MIA	CHI
59	2014-02-23	WAS	CLE
\N	2014-02-23	TOR	ORL
17	2014-02-23	SAC	DEN
25	2014-02-23	HOU	PHX
50	2014-02-23	BKN	LAL
11	2014-02-23	POR	MIN
7	2014-02-24	MIL	PHI
56	2014-02-24	GSW	DET
45	2014-02-24	DAL	NYK
63	2014-02-24	LAC	NOH
8	2014-02-24	UTA	BOS
\N	2014-02-25	TOR	CLE
34	2014-02-25	IND	LAL
30	2014-02-25	WAS	ORL
10	2014-02-25	CHI	ATL
17	2014-02-25	POR	DEN
77	2014-02-25	MIN	PHX
59	2014-02-25	HOU	SAC
77	2014-02-26	ORL	PHI
8	2014-02-26	BOS	ATL
20	2014-02-26	CHI	GSW
10	2014-02-26	DAL	NOH
42	2014-02-26	MEM	LAL
15	2014-02-26	CLE	OKC
20	2014-02-26	SAS	DET
15	2014-02-26	UTA	PHX
13	2014-02-26	POR	BKN
12	2014-02-26	LAC	HOU
77	2014-02-27	IND	MIL
15	2014-02-27	WAS	TOR
36	2014-02-27	MIA	NYK
11	2014-02-27	BKN	DEN
47	2014-02-28	CLE	UTA
50	2014-02-28	OKC	MEM
60	2014-02-28	GSW	NYK
13	2014-02-28	CHI	DAL
40	2014-02-28	SAS	CHA
23	2014-02-28	LAL	SAC
50	2014-02-28	PHX	NOH
16	2014-03-01	MIA	ORL
22	2014-03-01	WAS	PHI
72	2014-03-01	HOU	DET
7	2014-03-01	IND	BOS
18	2014-03-01	BKN	MIL
59	2014-03-01	MEM	CLE
61	2014-03-01	POR	DEN
32	2014-03-01	MIN	SAC
17	2014-03-01	LAC	NOH
13	2014-03-02	CHI	NYK
\N	2014-03-02	TOR	GSW
71	2014-03-02	IND	UTA
48	2014-03-02	ORL	PHI
15	2014-03-02	OKC	CHA
47	2014-03-02	SAS	DAL
54	2014-03-02	PHX	ATL
28	2014-03-03	MEM	WAS
19	2014-03-03	BKN	CHI
14	2014-03-03	DET	NYK
28	2014-03-03	MIA	CHA
58	2014-03-03	MIL	UTA
72	2014-03-03	MIN	DEN
52	2014-03-03	LAL	POR
31	2014-03-03	SAC	NOH
59	2014-03-04	SAS	CLE
17	2014-03-04	GSW	IND
19	2014-03-04	HOU	MIA
6	2014-03-04	OKC	PHI
71	2014-03-04	LAC	PHX
11	2014-03-04	NOH	LAL
47	2014-03-05	CHA	IND
14	2014-03-05	HOU	ORL
15	2014-03-05	WAS	UTA
63	2014-03-05	GSW	BOS
18	2014-03-05	BKN	MEM
66	2014-03-05	CHI	DET
6	2014-03-05	SAC	MIL
15	2014-03-05	NYK	MIN
20	2014-03-05	DEN	DAL
8	2014-03-05	POR	ATL
66	2014-03-06	SAS	MIA
66	2014-03-06	PHX	OKC
27	2014-03-06	LAC	LAL
18	2014-03-07	MEM	CHI
59	2014-03-07	CHA	CLE
\N	2014-03-07	TOR	SAC
33	2014-03-07	BOS	BKN
41	2014-03-07	NYK	UTA
48	2014-03-07	MIN	DET
52	2014-03-07	NOH	MIL
63	2014-03-07	DAL	POR
16	2014-03-07	DEN	LAL
58	2014-03-07	HOU	IND
72	2014-03-07	GSW	ATL
72	2014-03-08	NYK	CLE
77	2014-03-08	UTA	PHI
72	2014-03-08	MEM	CHA
18	2014-03-08	WAS	MIL
12	2014-03-08	SAS	ORL
20	2014-03-08	LAC	ATL
10	2014-03-09	CHI	MIA
60	2014-03-09	LAL	OKC
35	2014-03-09	NOH	DEN
77	2014-03-09	BOS	DET
15	2014-03-09	BKN	SAC
47	2014-03-09	HOU	POR
\N	2014-03-09	TOR	MIN
31	2014-03-09	DAL	IND
42	2014-03-09	GSW	PHX
10	2014-03-10	CHA	DEN
46	2014-03-10	BKN	TOR
68	2014-03-10	MIA	WAS
70	2014-03-10	NYK	PHI
8	2014-03-10	MIL	ORL
55	2014-03-10	ATL	UTA
68	2014-03-10	LAC	PHX
66	2014-03-11	IND	BOS
11	2014-03-11	DET	SAC
33	2014-03-11	SAS	CHI
37	2014-03-11	MEM	POR
66	2014-03-11	MIN	MIL
76	2014-03-11	OKC	HOU
55	2014-03-11	GSW	DAL
44	2014-03-12	BKN	MIA
33	2014-03-12	DEN	ORL
49	2014-03-12	SAC	PHI
\N	2014-03-12	TOR	DET
15	2014-03-12	CHA	WAS
6	2014-03-12	NYK	BOS
35	2014-03-12	MEM	NOH
24	2014-03-12	DAL	UTA
20	2014-03-12	SAS	POR
60	2014-03-12	CLE	PHX
6	2014-03-12	LAC	GSW
17	2014-03-13	CHI	HOU
71	2014-03-13	ATL	MIL
11	2014-03-13	OKC	LAL
37	2014-03-14	CHA	MIN
11	2014-03-14	WAS	ORL
42	2014-03-14	IND	PHI
\N	2014-03-14	TOR	MEM
71	2014-03-14	PHX	BOS
76	2014-03-14	DEN	MIA
14	2014-03-14	POR	NOH
24	2014-03-14	SAS	LAL
56	2014-03-14	LAC	UTA
13	2014-03-14	CLE	GSW
72	2014-03-15	NYK	MIL
12	2014-03-15	WAS	BKN
15	2014-03-15	ATL	DEN
49	2014-03-15	IND	DET
45	2014-03-15	MEM	PHI
74	2014-03-15	CHI	SAC
61	2014-03-16	CHA	MIL
46	2014-03-16	PHX	TOR
36	2014-03-16	MIA	HOU
76	2014-03-16	NOH	BOS
27	2014-03-16	MIN	SAC
26	2014-03-16	DAL	OKC
34	2014-03-16	SAS	UTA
38	2014-03-16	GSW	POR
38	2014-03-16	LAC	CLE
16	2014-03-17	ATL	CHA
63	2014-03-17	IND	PHI
16	2014-03-17	BKN	PHX
20	2014-03-17	OKC	CHI
31	2014-03-17	HOU	UTA
14	2014-03-17	DAL	BOS
45	2014-03-17	DEN	LAC
11	2014-03-18	MIA	CLE
55	2014-03-18	ATL	TOR
28	2014-03-18	POR	MIL
19	2014-03-18	SAC	WAS
41	2014-03-18	GSW	ORL
19	2014-03-19	CHI	PHI
12	2014-03-19	BOS	MIA
65	2014-03-19	BKN	CHA
10	2014-03-19	MEM	UTA
\N	2014-03-19	TOR	NOH
49	2014-03-19	NYK	IND
12	2014-03-19	MIN	DAL
58	2014-03-19	DEN	DET
33	2014-03-19	PHX	ORL
52	2014-03-19	SAS	LAL
60	2014-03-20	OKC	CLE
42	2014-03-20	HOU	MIN
44	2014-03-20	POR	WAS
30	2014-03-20	GSW	MIL
48	2014-03-17	IND	CHI
55	2014-03-17	NYK	PHI
28	2014-03-17	OKC	TOR
7	2014-03-17	NOH	ATL
49	2014-03-17	BKN	BOS
38	2014-03-17	MIA	MEM
59	2014-03-17	DAL	DEN
58	2014-03-17	PHX	DET
17	2014-03-17	SAS	SAC
76	2014-03-17	WAS	LAL
33	2014-03-22	CHA	POR
43	2014-03-22	HOU	CLE
63	2014-03-22	CHI	PHI
55	2014-03-22	MEM	IND
16	2014-03-22	NOH	MIA
63	2014-03-22	UTA	ORL
56	2014-03-22	SAS	GSW
76	2014-03-22	LAC	DET
\N	2014-03-23	TOR	ATL
46	2014-03-23	PHX	MIN
45	2014-03-23	DEN	WAS
10	2014-03-23	SAC	MIL
41	2014-03-23	BKN	DAL
29	2014-03-23	CLE	NYK
10	2014-03-23	LAL	ORL
16	2014-03-24	HOU	CHA
79	2014-03-24	PHX	ATL
13	2014-03-24	MIA	POR
10	2014-03-24	CHI	IND
27	2014-03-24	MEM	MIN
63	2014-03-24	NOH	BKN
22	2014-03-24	OKC	DEN
33	2014-03-24	SAS	PHI
60	2014-03-24	DET	UTA
40	2014-03-24	LAC	MIL
33	2014-03-25	CLE	TOR
17	2014-03-25	ORL	POR
54	2014-03-25	DAL	OKC
42	2014-03-25	LAL	NYK
25	2014-03-26	CHA	BKN
35	2014-03-26	PHX	WAS
\N	2014-03-26	TOR	BOS
59	2014-03-26	CLE	DET
41	2014-03-26	MIN	ATL
31	2014-03-26	NOH	LAC
32	2014-03-26	IND	MIA
37	2014-03-26	SAS	DEN
13	2014-03-26	NYK	SAC
73	2014-03-26	MEM	UTA
40	2014-03-27	POR	ATL
12	2014-03-27	HOU	PHI
34	2014-03-27	MIL	LAL
36	2014-03-27	LAC	DAL
14	2014-03-28	ORL	CHA
\N	2014-03-28	TOR	BOS
58	2014-03-28	WAS	IND
11	2014-03-28	BKN	CLE
11	2014-03-28	MIA	DET
10	2014-03-28	POR	CHI
58	2014-03-28	MIN	LAL
68	2014-03-28	NOH	UTA
25	2014-03-28	OKC	SAC
10	2014-03-28	SAS	DEN
20	2014-03-28	PHX	NYK
43	2014-03-28	GSW	MEM
22	2014-03-29	PHI	DET
7	2014-03-29	LAC	HOU
10	2014-03-29	WAS	ATL
66	2014-03-29	DAL	SAC
58	2014-03-29	MIA	MIL
60	2014-03-29	SAS	NOH
65	2014-03-30	OKC	UTA
48	2014-03-30	CLE	IND
58	2014-03-30	BKN	MIN
\N	2014-03-30	TOR	ORL
58	2014-03-30	CHI	BOS
49	2014-03-30	NYK	GSW
56	2014-03-30	POR	MEM
59	2014-03-30	LAL	PHX
58	2014-03-31	CHA	WAS
14	2014-03-31	SAS	IND
77	2014-03-31	ATL	PHI
46	2014-03-31	DET	MIL
8	2014-03-31	MIA	TOR
20	2014-03-31	CHI	BOS
58	2014-03-31	LAC	MIN
28	2014-03-31	SAC	NOH
56	2014-03-31	MEM	DEN
36	2014-03-31	NYK	UTA
40	2014-04-01	BKN	HOU
14	2014-04-01	GSW	DAL
33	2014-04-01	POR	LAL
61	2014-04-02	IND	DET
31	2014-04-02	NYK	BKN
7	2014-04-02	CLE	ORL
43	2014-04-02	CHA	PHI
\N	2014-04-02	TOR	HOU
29	2014-04-02	WAS	BOS
79	2014-04-02	CHI	ATL
48	2014-04-02	MIA	MIL
33	2014-04-02	MIN	MEM
45	2014-04-02	SAS	GSW
58	2014-04-02	DEN	NOH
23	2014-04-02	LAC	PHX
14	2014-04-02	SAC	LAL
71	2014-04-03	OKC	SAS
46	2014-04-03	DAL	LAC
38	2014-04-04	MEM	DEN
58	2014-04-04	CHA	ORL
\N	2014-04-04	TOR	IND
38	2014-04-04	ATL	CLE
31	2014-04-04	PHI	BOS
65	2014-04-04	BKN	DET
11	2014-04-04	MIN	MIA
36	2014-04-04	WAS	NYK
76	2014-04-04	CHI	MIL
10	2014-04-04	UTA	NOH
28	2014-04-04	HOU	OKC
30	2014-04-04	PHX	POR
19	2014-04-04	GSW	SAC
72	2014-04-04	DAL	LAL
12	2014-04-05	ORL	MIN
8	2014-04-05	CHI	WAS
55	2014-04-05	CHA	CLE
15	2014-04-05	DET	BOS
10	2014-04-05	BKN	PHI
\N	2014-04-05	TOR	MIL
20	2014-04-06	MIA	NYK
41	2014-04-06	LAC	LAL
25	2014-04-06	DAL	SAC
6	2014-04-06	ATL	IND
36	2014-04-06	HOU	DEN
28	2014-04-06	SAS	MEM
42	2014-04-06	GSW	UTA
36	2014-04-06	PHX	OKC
47	2014-04-06	POR	NOH
48	2014-04-08	MIN	SAS
8	2014-04-08	DET	ATL
13	2014-04-08	BKN	MIA
47	2014-04-08	DAL	UTA
71	2014-04-08	OKC	SAC
28	2014-04-08	HOU	LAL
35	2014-04-09	CLE	DET
55	2014-04-09	ORL	BKN
\N	2014-04-09	TOR	PHI
13	2014-04-09	CHA	WAS
46	2014-04-09	ATL	BOS
32	2014-04-09	MEM	MIA
7	2014-04-09	IND	MIL
32	2014-04-09	CHI	MIN
36	2014-04-09	PHX	NOH
79	2014-04-09	DEN	HOU
28	2014-04-09	POR	SAC
7	2014-04-09	OKC	LAC
43	2014-04-10	SAS	DAL
26	2014-04-10	DEN	GSW
14	2014-04-11	WAS	ORL
25	2014-04-11	NYK	TOR
19	2014-04-11	BOS	CHA
14	2014-04-11	ATL	BKN
42	2014-04-11	MIA	IND
63	2014-04-11	CHI	DET
20	2014-04-11	MEM	PHI
17	2014-04-11	MIN	HOU
68	2014-04-11	OKC	NOH
50	2014-04-11	MIL	CLE
33	2014-04-11	SAS	PHX
8	2014-04-11	POR	UTA
46	2014-04-11	GSW	LAL
6	2014-04-12	LAC	SAC
49	2014-04-12	CHA	PHI
26	2014-04-12	WAS	MIL
70	2014-04-12	ATL	MIA
34	2014-04-12	BOS	CLE
15	2014-04-12	HOU	NOH
66	2014-04-12	DAL	PHX
29	2014-04-12	DEN	UTA
14	2014-04-13	NYK	CHI
\N	2014-04-13	TOR	DET
27	2014-04-13	BKN	ORL
20	2014-04-13	IND	OKC
45	2014-04-13	POR	GSW
13	2014-04-13	SAC	MIN
73	2014-04-13	MEM	LAL
19	2014-04-14	PHI	BOS
\N	2014-04-14	TOR	MIL
34	2014-04-14	WAS	MIA
14	2014-04-14	CHA	ATL
43	2014-04-14	CHI	ORL
56	2014-04-14	HOU	SAS
15	2014-04-14	NOH	OKC
20	2014-04-14	LAL	UTA
23	2014-04-14	MEM	PHX
10	2014-04-14	GSW	MIN
61	2014-04-15	NYK	BKN
55	2014-04-15	LAC	DEN
20	2014-04-16	MEM	DAL
12	2014-04-16	ATL	MIL
15	2014-04-16	UTA	MIN
26	2014-04-16	NOH	HOU
14	2014-04-16	OKC	DET
33	2014-04-16	LAL	SAS
7	2014-04-16	WAS	BOS
26	2014-04-16	CHA	CHI
79	2014-04-16	CLE	BKN
23	2014-04-16	PHI	MIA
10	2014-04-16	NYK	TOR
25	2014-04-16	IND	ORL
6	2014-04-16	POR	LAC
44	2014-04-16	PHX	SAC
66	2014-04-16	GSW	DEN
